numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,205,5956,6451,2500,2427,2204,1790,0,0,0,278,1079200,0,0,26873102336,53,2339248,0,0,506025,1000,1000,0,3734878,3734878,0,0,3734878,506025,1
4,205,5101,5248,2036,2058,1944,1632,0,0,0,256,1079200,0,0,26873102336,53,2339248,0,0,506025,1000,1000,0,3734878,3734878,0,0,3734878,506025,2
4,205,5121,5448,2030,2065,1924,1650,0,0,0,238,1079200,0,0,26873102336,53,2339248,0,0,506025,1000,1000,0,3734878,3734878,0,0,3734878,506025,3
4,205,5134,5517,2039,2050,1924,1589,0,0,0,265,1079200,0,0,26873102336,53,2339248,0,0,506025,1000,1000,0,3734878,3734878,0,0,3734878,506025,4
4,205,5209,5645,2115,2144,1950,1663,0,0,0,283,1079200,0,0,26873102336,53,2339248,0,0,506025,1000,1000,0,3734878,3734878,0,0,3734878,506025,5
4,205,5203,5341,2065,2105,2038,1731,0,0,0,254,1079200,0,0,26873102336,53,2339248,0,0,506025,1000,1000,0,3734878,3734878,0,0,3734878,506025,6
4,205,4938,5360,2014,2053,1884,1596,0,0,0,256,1079200,0,0,26873102336,53,2339248,0,0,506025,1000,1000,0,3734878,3734878,0,0,3734878,506025,7
4,205,5057,5191,1987,2048,1945,1652,0,0,0,248,1079200,0,0,26873102336,53,2339248,0,0,506025,1000,1000,0,3734878,3734878,0,0,3734878,506025,8
4,205,4921,5098,2041,2027,1817,1528,0,0,0,282,1079200,0,0,26873102336,53,2339248,0,0,506025,1000,1000,0,3734878,3734878,0,0,3734878,506025,9
4,205,5212,5574,2107,2131,1949,1671,0,0,0,272,1079200,0,0,26873102336,53,2339248,0,0,506025,1000,1000,0,3734878,3734878,0,0,3734878,506025,10
4,205,4903,5051,1969,1986,1815,1556,8,0,0,263,1079243,0,0,26873102336,53,2339248,0,0,506025,1000,1000,0,3734878,3734878,0,0,3734878,506025,11
4,205,5285,5676,2128,2171,2004,1655,0,0,0,280,1079200,0,0,26873102336,53,2339248,0,0,506025,1000,1000,0,3734878,3734878,0,0,3734878,506025,12
4,205,4865,5010,2007,2026,1815,1574,0,0,0,243,1079200,0,0,26873102336,53,2339248,0,0,506025,1000,1000,0,3734878,3734878,0,0,3734878,506025,13
4,205,5196,5330,2117,2128,1974,1686,0,0,0,259,1079200,0,0,26873102336,53,2339248,0,0,506025,1000,1000,0,3734878,3734878,0,0,3734878,506025,14
4,205,5039,5170,2031,2039,1868,1593,0,0,0,249,1079200,0,0,26873102336,53,2339248,0,0,506025,1000,1000,0,3734878,3734878,0,0,3734878,506025,15
4,205,4827,5161,1927,1962,1804,1558,0,0,0,258,1079200,0,0,26873102336,53,2339248,0,0,506025,1000,1000,0,3734878,3734878,0,0,3734878,506025,16
4,205,5046,5185,2081,2076,1859,1586,0,0,0,265,1079200,0,0,26873102336,53,2339248,0,0,506025,1000,1000,0,3734878,3734878,0,0,3734878,506025,17
4,205,4553,4676,1852,1895,1701,1471,0,0,0,243,1079200,0,0,26873102336,53,2339248,0,0,506025,1000,1000,0,3734878,3734878,0,0,3734878,506025,18
4,205,4982,5323,2019,2012,1837,1575,0,38,0,243,1079243,0,0,26873102336,53,2339248,0,0,506025,1000,1000,0,3734878,3734878,0,0,3734878,506025,19
4,205,4724,5029,1947,1988,1727,1514,0,0,0,269,1079200,0,0,26873102336,53,2339248,0,0,506025,1000,1000,0,3734878,3734878,0,0,3734878,506025,20
