numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,405,11838,11813,7635,7358,1631,1724,0,27,0,1854,1047200,0,0,13438681088,53,2339248,0,0,1011850,1200,1200,0,11215806,11215806,0,0,11215806,1011850,1
4,405,10523,10497,6500,6472,1539,1623,0,22,0,1842,1047200,0,0,13438681088,53,2339248,0,0,1011850,1200,1200,0,11215806,11215806,0,0,11215806,1011850,2
4,405,10440,10426,6410,6355,1570,1677,0,23,0,1840,1047243,0,0,13438681088,53,2339248,0,0,1011850,1200,1200,0,11215806,11215806,0,0,11215806,1011850,3
4,405,10414,10387,6282,6180,1573,1665,0,13,0,1823,1047243,0,0,13438681088,53,2339248,0,0,1011850,1200,1200,0,11215806,11215806,0,0,11215806,1011850,4
4,405,9996,9980,6191,6190,1560,1685,1,0,0,1842,1047243,0,0,13438681088,53,2339248,0,0,1011850,1200,1200,0,11215806,11215806,0,0,11215806,1011850,5
4,405,10013,9996,6184,6166,1522,1629,1,17,0,1843,1047200,0,0,13438681088,53,2339248,0,0,1011850,1200,1200,0,11215806,11215806,0,0,11215806,1011850,6
4,405,9787,9770,6066,6105,1516,1625,0,0,0,1823,1047200,0,0,13438681088,53,2339248,0,0,1011850,1200,1200,0,11215806,11215806,0,0,11215806,1011850,7
4,405,9794,9784,6100,6117,1483,1621,0,0,0,1828,1047200,0,0,13438681088,53,2339248,0,0,1011850,1200,1200,0,11215806,11215806,0,0,11215806,1011850,8
4,405,10504,10492,6547,6118,1538,1645,0,0,0,1847,1047200,0,0,13438681088,53,2339248,0,0,1011850,1200,1200,0,11215806,11215806,0,0,11215806,1011850,9
4,405,10968,10958,7039,6124,1545,1613,0,33,0,2083,1047290,0,0,13438681088,53,2339248,0,0,1011850,1200,1200,0,11215806,11215806,0,0,11215806,1011850,10
4,405,9607,9595,6017,6053,1487,1610,0,14,0,1854,1047400,0,0,13438681088,53,2339248,0,0,1011850,1200,1200,0,11215806,11215806,0,0,11215806,1011850,11
4,405,9715,9706,6037,6073,1524,1644,0,0,0,1806,1047400,0,0,13438681088,53,2339248,0,0,1011850,1200,1200,0,11215806,11215806,0,0,11215806,1011850,12
4,405,9669,9658,5967,5912,1540,1620,0,20,0,1750,1047443,0,0,13438681088,53,2339248,0,0,1011850,1200,1200,0,11215806,11215806,0,0,11215806,1011850,13
4,405,9589,9577,5972,5991,1535,1661,0,23,0,1821,1047400,0,0,13438681088,53,2339248,0,0,1011850,1200,1200,0,11215806,11215806,0,0,11215806,1011850,14
4,405,9560,9549,5898,5940,1518,1635,0,0,0,1783,1047400,0,0,13438681088,53,2339248,0,0,1011850,1200,1200,0,11215806,11215806,0,0,11215806,1011850,15
4,405,9956,9944,6123,6166,1593,1713,0,0,0,1855,1047400,0,0,13438681088,53,2339248,0,0,1011850,1200,1200,0,11215806,11215806,0,0,11215806,1011850,16
4,405,10030,10020,6283,6244,1567,1685,1,22,0,1972,1047443,0,0,13438681088,53,2339248,0,0,1011850,1200,1200,0,11215806,11215806,0,0,11215806,1011850,17
4,405,10062,10053,6296,6315,1575,1720,0,18,0,1897,1047400,0,0,13438681088,53,2339248,0,0,1011850,1200,1200,0,11215806,11215806,0,0,11215806,1011850,18
4,405,9635,9624,5988,6023,1472,1619,0,0,0,1816,1047400,0,0,13438681088,53,2339248,0,0,1011850,1200,1200,0,11215806,11215806,0,0,11215806,1011850,19
4,405,9609,9592,5996,6037,1495,1614,0,0,0,1832,1047400,0,0,13438681088,53,2339248,0,0,1011850,1200,1200,0,11215806,11215806,0,0,11215806,1011850,20
