numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,501,15283,15225,9444,9060,2162,2239,0,41,0,2713,1047200,0,0,13438681088,122,2382000,0,0,1011850,800,800,0,11202797,11202797,0,0,11202797,1011850,1
4,501,13310,13264,8013,8020,2000,2147,0,0,0,2721,1047200,0,0,13438681088,122,2382000,0,0,1011850,800,800,0,11202797,11202797,0,0,11202797,1011850,2
4,501,12247,12228,7326,7353,1899,2044,0,0,0,2596,1047200,0,0,13438681088,122,2382000,0,0,1011850,800,800,0,11202797,11202797,0,0,11202797,1011850,3
4,501,12536,12518,7523,7557,1936,2078,0,0,0,2692,1047200,0,0,13438681088,122,2382000,0,0,1011850,800,800,0,11202797,11202797,0,0,11202797,1011850,4
4,501,12748,12731,7731,7740,1992,2148,0,0,0,2745,1047200,0,0,13438681088,122,2382000,0,0,1011850,800,800,0,11202797,11202797,0,0,11202797,1011850,5
4,501,12484,12467,7495,7442,1957,2104,0,0,0,2578,1047200,0,0,13438681088,122,2382000,0,0,1011850,800,800,0,11202797,11202797,0,0,11202797,1011850,6
4,501,12490,12478,7446,7478,1902,2049,0,0,0,2663,1047200,0,0,13438681088,122,2382000,0,0,1011850,800,800,0,11202797,11202797,0,0,11202797,1011850,7
4,501,11911,11886,7274,7282,1891,2029,0,0,0,2608,1047200,0,0,13438681088,122,2382000,0,0,1011850,800,800,0,11202797,11202797,0,0,11202797,1011850,8
4,501,12096,12081,7399,7411,1933,2066,0,0,0,2637,1047200,0,0,13438681088,122,2382000,0,0,1011850,800,800,0,11202797,11202797,0,0,11202797,1011850,9
4,501,11979,11952,7322,7345,1899,2036,0,0,0,2672,1047200,0,0,13438681088,122,2382000,0,0,1011850,800,800,0,11202797,11202797,0,0,11202797,1011850,10
4,501,11853,11840,7214,7198,1875,1988,0,24,0,2626,1047200,0,0,13438681088,122,2382000,0,0,1011850,800,800,0,11202797,11202797,0,0,11202797,1011850,11
4,501,11896,11883,7280,7232,1887,2030,0,43,0,2644,1047208,0,0,13438681088,122,2382000,0,0,1011850,800,800,0,11202797,11202797,0,0,11202797,1011850,12
4,501,11970,11955,7295,7353,1881,2050,0,0,0,2686,1047400,0,0,13438681088,122,2382000,0,0,1011850,800,800,0,11202797,11202797,0,0,11202797,1011850,13
4,501,12082,12067,7207,7167,1860,2009,1,0,0,2657,1047400,0,0,13438681088,122,2382000,0,0,1011850,800,800,0,11202797,11202797,0,0,11202797,1011850,14
4,501,11717,11704,7193,7198,1834,1991,0,27,0,2701,1047400,0,0,13438681088,122,2382000,0,0,1011850,800,800,0,11202797,11202797,0,0,11202797,1011850,15
4,501,11881,11866,7254,7240,1861,1982,0,21,0,2703,1047400,0,0,13438681088,122,2382000,0,0,1011850,800,800,0,11202797,11202797,0,0,11202797,1011850,16
4,501,12296,12272,7481,7446,1914,2052,0,25,0,2786,1047400,0,0,13438681088,122,2382000,0,0,1011850,800,800,0,11202797,11202797,0,0,11202797,1011850,17
4,501,11651,11640,7031,7078,1884,2000,0,0,0,2587,1047400,0,0,13438681088,122,2382000,0,0,1011850,800,800,0,11202797,11202797,0,0,11202797,1011850,18
4,501,11979,11969,7300,7285,1915,2041,0,26,0,2659,1047443,0,0,13438681088,122,2382000,0,0,1011850,800,800,0,11202797,11202797,0,0,11202797,1011850,19
4,501,11929,11920,7198,7208,1876,2025,0,0,0,2713,1047400,0,0,13438681088,122,2382000,0,0,1011850,800,800,0,11202797,11202797,0,0,11202797,1011850,20
